reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,Z,2997,ㄓㄜ,5,BIAOKAI_W5|HEI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,17,5,9,N,
variant_gid,Z,2999,ㄊㄨㄥ,6,BIAOKAI_W5|HEI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,16,6,8,N,
variant_gid,Z,3001,ㄌㄧㄢ,1,KAICHU_MD,13,1,7,N,
variant_gid,Z,3002,ㄙㄨ,2,BIAOKAI_W5|KAICHU_MD,16,2,6,N,
variant_gid,Z,3004,ㄓㄨ,2,BIAOKAI_W5|KAICHU_MD,2,2,2,N,
variant_gid,Z,3007,ㄗㄠ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,5,3,3,N,
variant_gid,Z,3008,ㄊㄡ,2,BIAOKAI_W5|KAICHU_MD,4,2,3,N,
variant_gid,Z,3013,ㄅㄨ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,25,3,11,N,
variant_gid,Z,3014,ㄍㄨㄛ,1,BIAOKAI_W5,5,1,1,N,
variant_gid,Z,3015,ㄉㄡ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,23,3,11,N,
variant_gid,Z,3024,ㄅㄧ,1,KAICHU_MD,5,1,1,N,
variant_gid,Z,3025,ㄆㄟ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,8,3,5,N,
variant_gid,Z,3027,ㄔㄣ,1,HEI_W7,1,1,1,N,
variant_gid,Z,3035,ㄒㄩㄝ,1,KAICHU_MD,6,1,1,N,
variant_gid,Z,3041,ㄩ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,3044,ㄌㄨ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,3049,ㄈㄨ,1,BIAOKAI_W5,2,1,1,N,
variant_gid,Z,3050,ㄅㄟ,1,KAICHU_MD,13,1,9,N,
variant_gid,Z,3056,ㄗㄨㄟ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,19,3,11,N,
variant_gid,Z,3057,ㄎㄞ,1,KAICHU_MD,3,1,1,N,
variant_gid,Z,3060,ㄔㄨㄤ,1,YUAN_W7,1,1,1,N,
variant_gid,Z,3063,ㄕㄥ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,12,3,7,N,
variant_gid,Z,3065,ㄅㄛ,1,BIAOKAI_W5,1,1,1,N,
